source,source_kind,line_index,raw_line,source_text_all,candidate_norm,candidate_formatted,ocr_confidence,line_center_x,line_center_y,line_width,line_height,pattern_score,geometry_score,confidence_bonus,noise_penalty,final_score,removed_noise_suffix,notes,filename,rank,selected
full_image,full_image_line,4.0,BE1193ALQ,MORA M SGM UUNRA BE1193ALQ C3·3G,BE1193ALQ,BE 1193 ALQ,0.9915289282798767,0.5750825082508251,0.5292904290429042,0.264026402640264,0.07673267326732673,118.0,16.0,13.881404995918274,0.0,157.88140499591827,,candidate from single OCR line,alpr_lampung_000026.jpg,1,True
full_image,full_image_line,4.0,BE1193ALQ,MORA M SGM UUNRA BE1193ALQ C3·3G,BE1193AL,BE 1193 AL,0.9915289282798767,0.5750825082508251,0.5292904290429042,0.264026402640264,0.07673267326732673,101.0,16.0,13.881404995918274,-0.7,140.18140499591829,Q,candidate from single OCR line; removed trailing noise: Q,alpr_lampung_000026.jpg,2,False
full_image,full_image_line,4.0,BE1193ALQ,MORA M SGM UUNRA BE1193ALQ C3·3G,BE1193A,BE 1193 A,0.9915289282798767,0.5750825082508251,0.5292904290429042,0.264026402640264,0.07673267326732673,99.0,16.0,13.881404995918274,-1.4,137.48140499591827,LQ,candidate from single OCR line; removed trailing noise: LQ,alpr_lampung_000026.jpg,3,False
full_image,full_image_joined,,MORA M SGM UUNRA BE1193ALQ C3·3G,MORA M SGM UUNRA BE1193ALQ C3·3G,BE1193ALQ,BE 1193 ALQ,0.6814562380313873,,,,,112.0,-4.0,9.540387332439423,-9.0,100.54038733243942,C33G,candidate from joined fallback; removed trailing noise: C33G; date-like trailing noise removed; joined text too long,alpr_lampung_000026.jpg,4,False
full_image,full_image_joined,,MORA M SGM UUNRA BE1193ALQ C3·3G,MORA M SGM UUNRA BE1193ALQ C3·3G,BE1193AL,BE 1193 AL,0.6814562380313873,,,,,103.0,-4.0,9.540387332439423,-9.0,91.54038733243942,QC33G,candidate from joined fallback; removed trailing noise: QC33G; date-like trailing noise removed; joined text too long,alpr_lampung_000026.jpg,5,False
full_image,full_image_joined,,MORA M SGM UUNRA BE1193ALQ C3·3G,MORA M SGM UUNRA BE1193ALQ C3·3G,BE1193A,BE 1193 A,0.6814562380313873,,,,,101.0,-4.0,9.540387332439423,-9.0,89.54038733243942,LQC33G,candidate from joined fallback; removed trailing noise: LQC33G; date-like trailing noise removed; joined text too long,alpr_lampung_000026.jpg,6,False
full_image,full_image_line,0.0,BE 1498 GP,BE 1498 GP 11·29,BE1498GP,BE 1498 GP,0.9199733734130859,0.405019305019305,0.7525096525096525,0.2864864864864865,0.07644787644787644,112.0,16.0,12.879627227783203,0.0,150.8796272277832,,candidate from single OCR line,alpr_lampung_000036.jpg,1,True
full_image,full_image_line,0.0,BE 1498 GP,BE 1498 GP 11·29,BE1498G,BE 1498 G,0.9199733734130859,0.405019305019305,0.7525096525096525,0.2864864864864865,0.07644787644787644,102.0,16.0,12.879627227783203,-0.7,140.17962722778321,P,candidate from single OCR line; removed trailing noise: P,alpr_lampung_000036.jpg,2,False
full_image,full_image_joined,,BE 1498 GP 11·29,BE 1498 GP 11·29,BE1498GP,BE 1498 GP,0.8809438347816467,,,,,106.0,-4.0,12.333213686943054,-1.0,105.33321368694305,1129,candidate from joined fallback; removed trailing noise: 1129; date-like trailing noise removed,alpr_lampung_000036.jpg,3,False
full_image,full_image_joined,,BE 1498 GP 11·29,BE 1498 GP 11·29,BE1498G,BE 1498 G,0.8809438347816467,,,,,104.0,-4.0,12.333213686943054,-1.0,103.33321368694305,P1129,candidate from joined fallback; removed trailing noise: P1129; date-like trailing noise removed,alpr_lampung_000036.jpg,4,False
full_image,full_image_line,2.0,BE2581GDC,HONDA S BE2581GDC 09·30 ONDA OneHEART.,BE2581GDC,BE 2581 GDC,0.8839470148086548,0.4988610478359909,0.5555808656036446,0.2979498861047836,0.0888382687927107,118.0,16.0,12.375258207321167,0.0,156.37525820732117,,candidate from single OCR line,alpr_lampung_000044.jpg,1,True
full_image,full_image_line,2.0,BE2581GDC,HONDA S BE2581GDC 09·30 ONDA OneHEART.,BE2581GD,BE 2581 GD,0.8839470148086548,0.4988610478359909,0.5555808656036446,0.2979498861047836,0.0888382687927107,101.0,16.0,12.375258207321167,-0.7,138.67525820732118,C,candidate from single OCR line; removed trailing noise: C,alpr_lampung_000044.jpg,2,False
full_image,full_image_line,2.0,BE2581GDC,HONDA S BE2581GDC 09·30 ONDA OneHEART.,BE2581G,BE 2581 G,0.8839470148086548,0.4988610478359909,0.5555808656036446,0.2979498861047836,0.0888382687927107,99.0,16.0,12.375258207321167,-1.4,135.97525820732116,DC,candidate from single OCR line; removed trailing noise: DC,alpr_lampung_000044.jpg,3,False
full_image,full_image_joined,,HONDA S BE2581GDC 09·30 ONDA OneHEART.,HONDA S BE2581GDC 09·30 ONDA OneHEART.,BE2581GDC,BE 2581 GDC,0.7850323915481567,,,,,112.0,-4.0,10.990453481674194,-25.0,85.9904534816742,0930ONDAONEHEART,"candidate from joined fallback; non-plate word detected: HONDA,ONEHEART; removed trailing noise: 0930ONDAONEHEART; date-like trailing noise removed; joined text too long",alpr_lampung_000044.jpg,4,False
full_image,full_image_joined,,HONDA S BE2581GDC 09·30 ONDA OneHEART.,HONDA S BE2581GDC 09·30 ONDA OneHEART.,BE2581GD,BE 2581 GD,0.7850323915481567,,,,,103.0,-4.0,10.990453481674194,-25.0,76.9904534816742,C0930ONDAONEHEART,"candidate from joined fallback; non-plate word detected: HONDA,ONEHEART; removed trailing noise: C0930ONDAONEHEART; date-like trailing noise removed; joined text too long",alpr_lampung_000044.jpg,5,False
full_image,full_image_joined,,HONDA S BE2581GDC 09·30 ONDA OneHEART.,HONDA S BE2581GDC 09·30 ONDA OneHEART.,BE2581G,BE 2581 G,0.7850323915481567,,,,,101.0,-4.0,10.990453481674194,-25.0,74.9904534816742,DC0930ONDAONEHEART,"candidate from joined fallback; non-plate word detected: HONDA,ONEHEART; removed trailing noise: DC0930ONDAONEHEART; date-like trailing noise removed; joined text too long",alpr_lampung_000044.jpg,6,False
full_image,full_image_line,1.0,BE 1482 BW,NISSAN BE 1482 BW 11.28,BE1482BW,BE 1482 BW,0.9246956706047058,0.4748275862068966,0.7710344827586207,0.3137931034482759,0.08,112.0,16.0,12.945739388465881,0.0,150.94573938846588,,candidate from single OCR line,alpr_lampung_000117.jpg,1,True
full_image,full_image_line,1.0,BE 1482 BW,NISSAN BE 1482 BW 11.28,BE1482B,BE 1482 B,0.9246956706047058,0.4748275862068966,0.7710344827586207,0.3137931034482759,0.08,102.0,16.0,12.945739388465881,-0.7,140.2457393884659,W,candidate from single OCR line; removed trailing noise: W,alpr_lampung_000117.jpg,2,False
full_image,full_image_joined,,NISSAN BE 1482 BW 11.28,NISSAN BE 1482 BW 11.28,BE1482BW,BE 1482 BW,0.9375898838043213,,,,,106.0,-4.0,13.126258373260498,-17.0,90.1262583732605,1128,candidate from joined fallback; non-plate word detected: NISSAN; removed trailing noise: 1128; date-like trailing noise removed; joined text too long,alpr_lampung_000117.jpg,3,False
full_image,full_image_joined,,NISSAN BE 1482 BW 11.28,NISSAN BE 1482 BW 11.28,BE1482B,BE 1482 B,0.9375898838043213,,,,,104.0,-4.0,13.126258373260498,-17.0,88.1262583732605,W1128,candidate from joined fallback; non-plate word detected: NISSAN; removed trailing noise: W1128; date-like trailing noise removed; joined text too long,alpr_lampung_000117.jpg,4,False
full_image,full_image_line,4.0,BE2919 RG,EBA3NTINOA C16HDA NBNN 自 BE2919 RG 07.29,BE2919RG,BE 2919 RG,0.9069914221763611,0.5104419621175328,0.5429820301117048,0.3370568237008256,0.09907722195240408,112.0,16.0,12.697879910469055,0.0,150.69787991046906,,candidate from single OCR line,alpr_lampung_000127.jpg,1,True
full_image,full_image_line,4.0,BE2919 RG,EBA3NTINOA C16HDA NBNN 自 BE2919 RG 07.29,BE2919R,BE 2919 R,0.9069914221763611,0.5104419621175328,0.5429820301117048,0.3370568237008256,0.09907722195240408,102.0,16.0,12.697879910469055,-0.7,139.99787991046907,G,candidate from single OCR line; removed trailing noise: G,alpr_lampung_000127.jpg,2,False
full_image,full_image_joined,,EBA3NTINOA C16HDA NBNN 自 BE2919 RG 07.29,EBA3NTINOA C16HDA NBNN 自 BE2919 RG 07.29,BE2919RG,BE 2919 RG,0.5608963519334793,,,,,106.0,-4.0,7.85254892706871,-9.0,92.85254892706871,0729,candidate from joined fallback; removed trailing noise: 0729; date-like trailing noise removed; joined text too long,alpr_lampung_000127.jpg,3,False
full_image,full_image_joined,,EBA3NTINOA C16HDA NBNN 自 BE2919 RG 07.29,EBA3NTINOA C16HDA NBNN 自 BE2919 RG 07.29,BE2919R,BE 2919 R,0.5608963519334793,,,,,104.0,-4.0,7.85254892706871,-9.0,90.85254892706871,G0729,candidate from joined fallback; removed trailing noise: G0729; date-like trailing noise removed; joined text too long,alpr_lampung_000127.jpg,4,False
full_image,full_image_joined,,AVAINZA BE 1707 CF 02.28,AVAINZA BE 1707 CF 02.28,BE1707CF,BE 1707 CF,0.9467393040657044,,,,,106.0,-4.0,13.254350256919862,-9.0,98.25435025691986,0228,candidate from joined fallback; removed trailing noise: 0228; date-like trailing noise removed; joined text too long,alpr_lampung_000133.jpg,1,True
full_image,full_image_joined,,AVAINZA BE 1707 CF 02.28,AVAINZA BE 1707 CF 02.28,BE1707C,BE 1707 C,0.9467393040657044,,,,,104.0,-4.0,13.254350256919862,-9.0,96.25435025691986,F0228,candidate from joined fallback; removed trailing noise: F0228; date-like trailing noise removed; joined text too long,alpr_lampung_000133.jpg,2,False
full_image,full_image_line,1.0,BE2182.HX,HONDA BE2182.HX 09.27,BE2182HX,BE 2182 HX,0.9395642876625061,0.5026202953787517,0.48904240114340164,0.2991900905192949,0.09385421629347308,112.0,16.0,13.153900027275085,0.0,151.15390002727509,,candidate from single OCR line,alpr_lampung_000168.jpg,1,True
full_image,full_image_line,1.0,BE2182.HX,HONDA BE2182.HX 09.27,BE2182H,BE 2182 H,0.9395642876625061,0.5026202953787517,0.48904240114340164,0.2991900905192949,0.09385421629347308,102.0,16.0,13.153900027275085,-0.7,140.4539000272751,X,candidate from single OCR line; removed trailing noise: X,alpr_lampung_000168.jpg,2,False
full_image,full_image_joined,,HONDA BE2182.HX 09.27,HONDA BE2182.HX 09.27,BE2182HX,BE 2182 HX,0.9601759513219198,,,,,106.0,-4.0,13.442463318506878,-17.0,90.44246331850688,0927,candidate from joined fallback; non-plate word detected: HONDA; removed trailing noise: 0927; date-like trailing noise removed; joined text too long,alpr_lampung_000168.jpg,3,False
full_image,full_image_joined,,HONDA BE2182.HX 09.27,HONDA BE2182.HX 09.27,BE2182H,BE 2182 H,0.9601759513219198,,,,,104.0,-4.0,13.442463318506878,-17.0,88.44246331850688,X0927,candidate from joined fallback; non-plate word detected: HONDA; removed trailing noise: X0927; date-like trailing noise removed; joined text too long,alpr_lampung_000168.jpg,4,False
full_image,full_image_line,1.0,BE2476NCZ,AT BE2476NCZ 05.29,BE2476NCZ,BE 2476 NCZ,0.996211588382721,0.4981213097155126,0.4326355340848094,0.28878153515834676,0.06977992485238863,118.0,16.0,13.946962237358093,0.0,157.9469622373581,,candidate from single OCR line,alpr_lampung_000174.jpg,1,True
full_image,full_image_line,1.0,BE2476NCZ,AT BE2476NCZ 05.29,BE2476NC,BE 2476 NC,0.996211588382721,0.4981213097155126,0.4326355340848094,0.28878153515834676,0.06977992485238863,101.0,16.0,13.946962237358093,-0.7,140.2469622373581,Z,candidate from single OCR line; removed trailing noise: Z,alpr_lampung_000174.jpg,2,False
full_image,full_image_line,1.0,BE2476NCZ,AT BE2476NCZ 05.29,BE2476N,BE 2476 N,0.996211588382721,0.4981213097155126,0.4326355340848094,0.28878153515834676,0.06977992485238863,99.0,16.0,13.946962237358093,-1.4,137.5469622373581,CZ,candidate from single OCR line; removed trailing noise: CZ,alpr_lampung_000174.jpg,3,False
full_image,full_image_joined,,AT BE2476NCZ 05.29,AT BE2476NCZ 05.29,BE2476NCZ,BE 2476 NCZ,0.8846404353777567,,,,,112.0,-4.0,12.384966095288593,-9.0,103.38496609528859,0529,candidate from joined fallback; removed trailing noise: 0529; date-like trailing noise removed; joined text too long,alpr_lampung_000174.jpg,4,False
full_image,full_image_joined,,AT BE2476NCZ 05.29,AT BE2476NCZ 05.29,BE2476NC,BE 2476 NC,0.8846404353777567,,,,,103.0,-4.0,12.384966095288593,-9.0,94.38496609528859,Z0529,candidate from joined fallback; removed trailing noise: Z0529; date-like trailing noise removed; joined text too long,alpr_lampung_000174.jpg,5,False
full_image,full_image_joined,,AT BE2476NCZ 05.29,AT BE2476NCZ 05.29,BE2476N,BE 2476 N,0.8846404353777567,,,,,101.0,-4.0,12.384966095288593,-9.0,92.38496609528859,CZ0529,candidate from joined fallback; removed trailing noise: CZ0529; date-like trailing noise removed; joined text too long,alpr_lampung_000174.jpg,6,False
full_image,full_image_line,0.0,BE:8836°D,BE:8836°D C7·28,BE8836D,BE 8836 D,0.9255695343017578,0.5101694915254237,0.7724576271186441,0.3016949152542373,0.07033898305084746,110.0,16.0,12.95797348022461,0.0,148.9579734802246,,candidate from single OCR line,alpr_lampung_000179.jpg,1,True
full_image,full_image_joined,,BE:8836°D C7·28,BE:8836°D C7·28,BE8836DC,BE 8836 DC,0.872639000415802,,,,,106.0,-4.0,12.216946005821228,-1.0,105.21694600582123,728,candidate from joined fallback; removed trailing noise: 728; date-like trailing noise removed,alpr_lampung_000179.jpg,2,False
full_image,full_image_joined,,BE:8836°D C7·28,BE:8836°D C7·28,BE8836D,BE 8836 D,0.872639000415802,,,,,104.0,-4.0,12.216946005821228,-1.0,103.21694600582123,C728,candidate from joined fallback; removed trailing noise: C728; date-like trailing noise removed,alpr_lampung_000179.jpg,3,False
full_image,full_image_line,0.0,BE2866KK,BE2866KK 06.3G,BE2866KK,BE 2866 KK,0.9962461590766907,0.5142937219730942,0.46860986547085204,0.3850896860986547,0.10201793721973094,112.0,16.0,13.94744622707367,0.0,151.94744622707367,,candidate from single OCR line,alpr_lampung_000181.jpg,1,True
full_image,full_image_line,0.0,BE2866KK,BE2866KK 06.3G,BE2866K,BE 2866 K,0.9962461590766907,0.5142937219730942,0.46860986547085204,0.3850896860986547,0.10201793721973094,102.0,16.0,13.94744622707367,-0.7,141.24744622707368,K,candidate from single OCR line; removed trailing noise: K,alpr_lampung_000181.jpg,2,False
full_image,full_image_joined,,BE2866KK 06.3G,BE2866KK 06.3G,BE2866KK,BE 2866 KK,0.8899503648281097,,,,,106.0,-4.0,12.459305107593536,-1.0,105.45930510759354,063G,candidate from joined fallback; removed trailing noise: 063G; date-like trailing noise removed,alpr_lampung_000181.jpg,3,False
full_image,full_image_joined,,BE2866KK 06.3G,BE2866KK 06.3G,BE2866K,BE 2866 K,0.8899503648281097,,,,,104.0,-4.0,12.459305107593536,-1.0,103.45930510759354,K063G,candidate from joined fallback; removed trailing noise: K063G; date-like trailing noise removed,alpr_lampung_000181.jpg,4,False
